time,pm1,pm2.5,pm10,fullserwords
2016-11-12_15:50:19,38,53,63
2016-11-12_15:50:20,38,54,64
2016-11-12_15:50:21,38,54,64
2016-11-12_15:50:22,38,54,64
2016-11-12_15:50:22,38,53,62
2016-11-12_15:50:23,38,53,62
2016-11-12_15:50:24,38,53,62
2016-11-12_15:50:25,36,52,60
2016-11-12_15:50:26,36,52,60
2016-11-12_15:50:27,36,52,60
2016-11-12_15:50:27,36,50,57
2016-11-12_15:50:28,36,50,57
2016-11-12_15:50:29,36,50,57
2016-11-12_15:50:30,38,49,58
2016-11-12_15:50:31,38,49,58
2016-11-12_15:50:32,38,49,58
2016-11-12_15:50:32,36,48,57
2016-11-12_15:50:33,36,48,57
2016-11-12_15:50:34,36,48,57
2016-11-12_15:50:35,35,47,56
2016-11-12_15:50:36,35,47,56
2016-11-12_15:50:37,35,47,55
2016-11-12_15:50:37,35,48,53
2016-11-12_15:50:38,35,47,53
2016-11-12_15:50:39,36,49,56
2016-11-12_15:50:40,36,49,61
2016-11-12_15:50:41,35,49,57
2016-11-12_15:50:42,36,50,60
2016-11-12_15:50:42,36,50,60
2016-11-12_15:50:43,35,49,62
2016-11-12_15:50:44,35,48,62
2016-11-12_15:50:45,35,50,68
2016-11-12_15:50:46,35,50,68
2016-11-12_15:50:47,35,50,68
2016-11-12_15:50:47,35,48,66
2016-11-12_15:50:48,34,47,66
2016-11-12_15:50:49,33,46,63
2016-11-12_15:50:50,32,46,58
2016-11-12_15:50:51,32,46,61
2016-11-12_15:50:52,31,46,60
2016-11-12_15:50:52,31,46,60
2016-11-12_15:50:53,31,47,57
2016-11-12_15:50:54,31,47,56
2016-11-12_15:50:55,32,47,54
2016-11-12_15:50:56,32,47,54
2016-11-12_15:50:57,33,48,54
2016-11-12_15:50:57,33,47,53
2016-11-12_15:50:58,33,47,53
2016-11-12_15:50:59,33,47,53
2016-11-12_15:51:00,33,47,54
2016-11-12_15:51:01,33,47,54
2016-11-12_15:51:02,33,47,54
2016-11-12_15:51:02,33,47,52
2016-11-12_15:51:03,33,47,52
2016-11-12_15:51:04,33,47,52
2016-11-12_15:51:05,35,47,54
2016-11-12_15:51:06,35,47,54
2016-11-12_15:51:07,35,47,54
2016-11-12_15:51:07,35,47,54
2016-11-12_15:51:08,35,47,54
2016-11-12_15:51:09,35,47,54
2016-11-12_15:51:10,36,49,56
2016-11-12_15:51:11,36,50,58
2016-11-12_15:51:12,35,48,56
2016-11-12_15:51:12,34,48,57
2016-11-12_15:51:13,34,47,57
2016-11-12_15:51:14,35,49,60
2016-11-12_15:51:15,36,50,62
2016-11-12_15:51:16,36,50,62
2016-11-12_15:51:17,34,49,61
2016-11-12_15:51:17,34,49,61
2016-11-12_15:51:18,34,48,58
2016-11-12_15:51:19,33,47,57
2016-11-12_15:51:20,33,49,58
2016-11-12_15:51:21,35,50,56
2016-11-12_15:51:22,35,52,56
2016-11-12_15:51:22,35,49,54
2016-11-12_15:51:23,35,49,54
2016-11-12_15:51:24,35,49,54
2016-11-12_15:51:25,35,48,52
2016-11-12_15:51:26,35,48,52
2016-11-12_15:51:27,35,48,52
2016-11-12_15:51:27,36,50,54
2016-11-12_15:51:28,36,50,54
2016-11-12_15:51:29,36,50,54
2016-11-12_15:51:30,38,50,53
2016-11-12_15:51:31,36,48,53
2016-11-12_15:51:31,38,48,52
2016-11-12_15:51:32,39,49,55
2016-11-12_15:51:33,38,46,52
2016-11-12_15:51:34,36,47,53
2016-11-12_15:51:35,36,47,54
2016-11-12_15:51:36,36,47,54
2016-11-12_15:51:36,35,46,54
2016-11-12_15:51:37,34,45,55
2016-11-12_15:51:38,35,45,55
2016-11-12_15:51:39,36,47,60
2016-11-12_15:51:40,35,47,60
2016-11-12_15:51:41,35,47,60
2016-11-12_15:51:41,35,47,60
2016-11-12_15:51:42,33,45,56
2016-11-12_15:51:43,33,45,56
2016-11-12_15:51:44,33,45,56
